id,name,location,state,city,ranking,cr360,nirf,branch,exams,rating,fees,type,links,gallery,unv_links,unv_gallery
28,"Abhayapuri College, Bongaigaon","Bongaigaon,Assam",Assam,Bongaigaon,No Ranking,,,Diploma in Test Engineer,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/abhayapuri-college-bongaigaon,https://www.careers360.com/colleges/abhayapuri-college-bongaigaon?gallery=true,https://careers360.com/university/abhayapuri-college-bongaigaon,https://www.careers360.com/university/abhayapuri-college-bongaigaon?gallery=true
49,AcSIR Chennai - Academy of Scientific and Innovative Research Chennai,"Chennai,Tamil Nadu",Tamil Nadu,Chennai,No Ranking,,,M.Tech and Ph.D Engineering Integrated,Not Mentioned,4.8/5,['₹2.50 Lakhs'],Public/Govt,https://careers360.com/colleges/academy-of-scientific-and-innovative-research-chennai,https://www.careers360.com/colleges/academy-of-scientific-and-innovative-research-chennai?gallery=true,https://careers360.com/university/academy-of-scientific-and-innovative-research-chennai,https://www.careers360.com/university/academy-of-scientific-and-innovative-research-chennai?gallery=true
50,"AcSIR Ghaziabad - Academy of Scientific and Innovative Research, Ghaziabad","Ghaziabad,Uttar Pradesh",Uttar Pradesh,Ghaziabad,No Ranking,,,Ph.D Engineering,Not Mentioned,4.7/5,Not Mentioned,Public/Govt,https://careers360.com/colleges/academy-of-scientific-and-innovative-research-ghaziabad,https://www.careers360.com/colleges/academy-of-scientific-and-innovative-research-ghaziabad?gallery=true,https://careers360.com/university/academy-of-scientific-and-innovative-research-ghaziabad,https://www.careers360.com/university/academy-of-scientific-and-innovative-research-ghaziabad?gallery=true
63,"Acharya Jagadish Chandra Bose Polytechnic, North 24 Parganas","North 24 Parganas,West Bengal",West Bengal,North 24 Parganas,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,['₹4.05 K'],Public/Govt,https://careers360.com/colleges/acharya-jagadish-chandra-bose-polytechnic-north-24-parganas,https://www.careers360.com/colleges/acharya-jagadish-chandra-bose-polytechnic-north-24-parganas?gallery=true,https://careers360.com/university/acharya-jagadish-chandra-bose-polytechnic-north-24-parganas,https://www.careers360.com/university/acharya-jagadish-chandra-bose-polytechnic-north-24-parganas?gallery=true
64,"Acharya Nagarjuna University College of Architecture and Planning, Nagarjuna Nagar","Guntur,Andhra Pradesh",Andhra Pradesh,Guntur,No Ranking,,,B.Arch,"JEE Main,National Aptitude Test in Architecture",3.5/5,Not Mentioned,Public/Govt,https://careers360.com/colleges/acharya-nagarjuna-university-college-of-architecture-and-planning-nagarjuna-nagar,https://www.careers360.com/colleges/acharya-nagarjuna-university-college-of-architecture-and-planning-nagarjuna-nagar?gallery=true,https://careers360.com/university/acharya-nagarjuna-university-college-of-architecture-and-planning-nagarjuna-nagar,https://www.careers360.com/university/acharya-nagarjuna-university-college-of-architecture-and-planning-nagarjuna-nagar?gallery=true
65,"ANU Guntur - Acharya Nagarjuna University, Guntur","Guntur,Andhra Pradesh",Andhra Pradesh,Guntur,No Ranking,,,B.Tech Computer Science and Engineering,"AP EAMCET,",4.8/5,['₹4.20 Lakhs'],Public/Govt,https://careers360.com/colleges/acharya-nagarjuna-university-guntur,https://www.careers360.com/colleges/acharya-nagarjuna-university-guntur?gallery=true,https://careers360.com/university/acharya-nagarjuna-university-guntur,https://www.careers360.com/university/acharya-nagarjuna-university-guntur?gallery=true
66,"Acharya Narendra Deva University of Agriculture and Technology, Faizabad","Kumarganj,Uttar Pradesh",Uttar Pradesh,Kumarganj,No Ranking,,,B.Tech Agricultural Engineering,Not Mentioned,3.9/5,['₹1.04 Lakhs'],Public/Govt,https://careers360.com/colleges/acharya-narendra-deva-university-of-agriculture-and-technology-faizabad,https://www.careers360.com/colleges/acharya-narendra-deva-university-of-agriculture-and-technology-faizabad?gallery=true,https://careers360.com/university/acharya-narendra-deva-university-of-agriculture-and-technology-faizabad,https://www.careers360.com/university/acharya-narendra-deva-university-of-agriculture-and-technology-faizabad?gallery=true
67,"Acharya Narendra Dev College, New Delhi","New Delhi,Delhi",Delhi,New Delhi,No Ranking,,,B.Sc Electronics Hons,"CUET UG,",4.0/5,['₹39.67 K'],Public/Govt,https://careers360.com/colleges/acharya-narendra-dev-college-new-delhi,https://www.careers360.com/colleges/acharya-narendra-dev-college-new-delhi?gallery=true,https://careers360.com/university/acharya-narendra-dev-college-new-delhi,https://www.careers360.com/university/acharya-narendra-dev-college-new-delhi?gallery=true
72,"Acharya Prafulla Chandra Ray Polytechnic, Kolkata","Kolkata,West Bengal",West Bengal,Kolkata,No Ranking,,,Diploma in Civil Engineering,"JEXPO,",No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/acharya-prafulla-chandra-ray-polytechnic-kolkata,https://www.careers360.com/colleges/acharya-prafulla-chandra-ray-polytechnic-kolkata?gallery=true,https://careers360.com/university/acharya-prafulla-chandra-ray-polytechnic-kolkata,https://www.careers360.com/university/acharya-prafulla-chandra-ray-polytechnic-kolkata?gallery=true
119,"Adikavi Nannaya University, MSN Campus, Kakinada","Kakinada,Andhra Pradesh",Andhra Pradesh,Kakinada,No Ranking,,,Ph.D Computer Science and Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/adikavi-nannaya-university-msn-campus-kakinada,https://www.careers360.com/colleges/adikavi-nannaya-university-msn-campus-kakinada?gallery=true,https://careers360.com/university/adikavi-nannaya-university-msn-campus-kakinada,https://www.careers360.com/university/adikavi-nannaya-university-msn-campus-kakinada?gallery=true
