id,name,location,state,city,ranking,cr360,nirf,branch,exams,rating,fees,type,links,gallery,unv_links,unv_gallery
1,"AAA College of Engineering and Technology, Sivakasi","Virudhunagar,Tamil Nadu",Tamil Nadu,Virudhunagar,No Ranking,,,BE Computer Science and Engineering,Not Mentioned,5.0/5,Not Mentioned,Private,https://careers360.com/colleges/aaa-college-of-engineering-and-technology-sivakasi,https://www.careers360.com/colleges/aaa-college-of-engineering-and-technology-sivakasi?gallery=true,https://careers360.com/university/aaa-college-of-engineering-and-technology-sivakasi,https://www.careers360.com/university/aaa-college-of-engineering-and-technology-sivakasi?gallery=true
2,"Aadishwar College of Technology, Gandhinagar","Bhoyan Rathod,Gujarat",Gujarat,Bhoyan Rathod,No Ranking,,,B.Tech Electrical Engineering,"JEE Main,Gujarat Common Entrance Test",2.6/5,['₹2.84 Lakhs'],Private,https://careers360.com/colleges/aadishwar-college-of-technology-gandhinagar,https://www.careers360.com/colleges/aadishwar-college-of-technology-gandhinagar?gallery=true,https://careers360.com/university/aadishwar-college-of-technology-gandhinagar,https://www.careers360.com/university/aadishwar-college-of-technology-gandhinagar?gallery=true
3,"AAERT and SSB Faculty of Architecture, Sarvajanik College of Engineering and Technology, Surat","Surat,Gujarat",Gujarat,Surat,No Ranking,,,B.Arch,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/aaert-and-ssb-faculty-of-architecture-sarvajanik-college-of-engineering-and-technology-surat,https://www.careers360.com/colleges/aaert-and-ssb-faculty-of-architecture-sarvajanik-college-of-engineering-and-technology-surat?gallery=true,https://careers360.com/university/aaert-and-ssb-faculty-of-architecture-sarvajanik-college-of-engineering-and-technology-surat,https://www.careers360.com/university/aaert-and-ssb-faculty-of-architecture-sarvajanik-college-of-engineering-and-technology-surat?gallery=true
4,"Aakar Academy of Architecture, Bangalore","Bangalore,Karnataka",Karnataka,Bangalore,No Ranking,,,B.Arch,"NATA,",No Ratings,Not Mentioned,Private,https://careers360.com/colleges/aakar-academy-of-architecture-bangalore,https://www.careers360.com/colleges/aakar-academy-of-architecture-bangalore?gallery=true,https://careers360.com/university/aakar-academy-of-architecture-bangalore,https://www.careers360.com/university/aakar-academy-of-architecture-bangalore?gallery=true
5,"Aalim Muhammed Salegh Academy of Architecture, Chennai","Chennai,Tamil Nadu",Tamil Nadu,Chennai,No Ranking,,,B.Arch,"JEE Main,National Aptitude Test in Architecture",No Ratings,Not Mentioned,Private,https://careers360.com/colleges/aalim-muhammed-salegh-academy-of-architecture-chennai,https://www.careers360.com/colleges/aalim-muhammed-salegh-academy-of-architecture-chennai?gallery=true,https://careers360.com/university/aalim-muhammed-salegh-academy-of-architecture-chennai,https://www.careers360.com/university/aalim-muhammed-salegh-academy-of-architecture-chennai?gallery=true
6,"Aalim Muhammed Salegh College of Engineering, Chennai","Chennai,Tamil Nadu",Tamil Nadu,Chennai,No Ranking,,,BE Computer Science and Engineering,Not Mentioned,4.0/5,Not Mentioned,Private,https://careers360.com/colleges/aalim-muhammed-salegh-college-of-engineering-chennai,https://www.careers360.com/colleges/aalim-muhammed-salegh-college-of-engineering-chennai?gallery=true,https://careers360.com/university/aalim-muhammed-salegh-college-of-engineering-chennai,https://www.careers360.com/university/aalim-muhammed-salegh-college-of-engineering-chennai?gallery=true
7,"Aalim Muhammed Salegh Polytechnic College, Chennai","Chennai,Tamil Nadu",Tamil Nadu,Chennai,No Ranking,,,Diploma in Computer Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/aalim-muhammed-salegh-polytechnic-college-chennai,https://www.careers360.com/colleges/aalim-muhammed-salegh-polytechnic-college-chennai?gallery=true,https://careers360.com/university/aalim-muhammed-salegh-polytechnic-college-chennai,https://www.careers360.com/university/aalim-muhammed-salegh-polytechnic-college-chennai?gallery=true
8,"AANM and VVRSR Polytechnic, Krishna","Krishna,Andhra Pradesh",Andhra Pradesh,Krishna,No Ranking,,,Diploma in Computer Engineering,Not Mentioned,4.3/5,Not Mentioned,Private,https://careers360.com/colleges/aanm-and-vvrsr-polytechnic-krishna,https://www.careers360.com/colleges/aanm-and-vvrsr-polytechnic-krishna?gallery=true,https://careers360.com/university/aanm-and-vvrsr-polytechnic-krishna,https://www.careers360.com/university/aanm-and-vvrsr-polytechnic-krishna?gallery=true
9,"Aarav Polytechnic College, Jaipur","Chomu,Rajasthan",Rajasthan,Chomu,No Ranking,,,Diploma in Electrical Engineering,Not Mentioned,No Ratings,['₹85.50 K'],Private,https://careers360.com/colleges/aarav-polytechnic-college-jaipur,https://www.careers360.com/colleges/aarav-polytechnic-college-jaipur?gallery=true,https://careers360.com/university/aarav-polytechnic-college-jaipur,https://www.careers360.com/university/aarav-polytechnic-college-jaipur?gallery=true
10,"AAR Mahaveer Engineering College, Keshavgiri","Hyderabad,Telangana",Telangana,Hyderabad,No Ranking,,,B.Tech Computer Science and Engineering,"TS EAMCET,",4.0/5,Not Mentioned,Private,https://careers360.com/colleges/aar-mahaveer-engineering-college-keshavgiri,https://www.careers360.com/colleges/aar-mahaveer-engineering-college-keshavgiri?gallery=true,https://careers360.com/university/aar-mahaveer-engineering-college-keshavgiri,https://www.careers360.com/university/aar-mahaveer-engineering-college-keshavgiri?gallery=true
