id,name,location,state,city,ranking,cr360,nirf,branch,exams,rating,fees,type,links,gallery,unv_links,unv_gallery
3703,IIT Madras (IITM) - Indian Institute of Technology Madras,"Chennai,Tamil Nadu",Tamil Nadu,Chennai,NIRF Ranking: 1 | Careers360  Rating: AAAAA,AAAAA,1,B.Tech Mechanical Engineering,"JEE Advanced,",4.7/5,['₹8.58 Lakhs'],Public/Govt,https://careers360.com/colleges/indian-institute-of-technology-madras,https://www.careers360.com/colleges/indian-institute-of-technology-madras?gallery=true,https://careers360.com/university/indian-institute-of-technology-madras,https://www.careers360.com/university/indian-institute-of-technology-madras?gallery=true
3691,IIT Delhi - Indian Institute of Technology Delhi,"New Delhi,Delhi",Delhi,New Delhi,NIRF Ranking: 2 | Careers360  Rating: AAAAA,AAAAA,2,B.Tech Electrical Engineering,"JEE Advanced,",4.6/5,['₹8.58 Lakhs'],Public/Govt,https://careers360.com/colleges/indian-institute-of-technology-delhi,https://www.careers360.com/colleges/indian-institute-of-technology-delhi?gallery=true,https://careers360.com/university/indian-institute-of-technology-delhi,https://www.careers360.com/university/indian-institute-of-technology-delhi?gallery=true
3690,IIT Bombay - Indian Institute of Technology Bombay,"Mumbai,Maharashtra",Maharashtra,Mumbai,NIRF Ranking: 3 | Careers360  Rating: AAAAA,AAAAA,3,B.Tech Mechanical Engineering,"JEE Advanced,",4.6/5,['₹8.69 Lakhs'],Public/Govt,https://careers360.com/colleges/indian-institute-of-technology-bombay,https://www.careers360.com/colleges/indian-institute-of-technology-bombay?gallery=true,https://careers360.com/university/indian-institute-of-technology-bombay,https://www.careers360.com/university/indian-institute-of-technology-bombay?gallery=true
3701,IIT Kanpur - Indian Institute of Technology Kanpur,"Kanpur,Uttar Pradesh",Uttar Pradesh,Kanpur,NIRF Ranking: 4 | Careers360  Rating: AAAAA,AAAAA,4,B.Tech Electrical Engineering,"JEE Advanced,",4.4/5,['₹8.59 Lakhs'],Public/Govt,https://careers360.com/colleges/indian-institute-of-technology-kanpur,https://www.careers360.com/colleges/indian-institute-of-technology-kanpur?gallery=true,https://careers360.com/university/indian-institute-of-technology-kanpur,https://www.careers360.com/university/indian-institute-of-technology-kanpur?gallery=true
3702,IIT Kharagpur - Indian Institute of Technology Kharagpur,"Kharagpur,West Bengal",West Bengal,Kharagpur,NIRF Ranking: 5 | Careers360  Rating: AAAAA,AAAAA,5,B.Tech Mechanical Engineering,"JEE Advanced,",4.7/5,['₹8.81 Lakhs'],Public/Govt,https://careers360.com/colleges/indian-institute-of-technology-kharagpur,https://www.careers360.com/colleges/indian-institute-of-technology-kharagpur?gallery=true,https://careers360.com/university/indian-institute-of-technology-kharagpur,https://www.careers360.com/university/indian-institute-of-technology-kharagpur?gallery=true
3707,IIT Roorkee - Indian Institute of Technology Roorkee,"Roorkee,Uttarakhand",Uttarakhand,Roorkee,NIRF Ranking: 6 | Careers360  Rating: AAAAA,AAAAA,6,B.Tech Civil Engineering,"JEE Advanced,",4.4/5,['₹8.90 Lakhs'],Public/Govt,https://careers360.com/colleges/indian-institute-of-technology-roorkee,https://www.careers360.com/colleges/indian-institute-of-technology-roorkee?gallery=true,https://careers360.com/university/indian-institute-of-technology-roorkee,https://www.careers360.com/university/indian-institute-of-technology-roorkee?gallery=true
3695,IIT Guwahati (IITG) - Indian Institute of Technology Guwahati,"Guwahati,Assam",Assam,Guwahati,NIRF Ranking: 7 | Careers360  Rating: AAAAA,AAAAA,7,B.Tech Mechanical Engineering,"JEE Advanced,",4.3/5,['₹8.54 Lakhs'],Public/Govt,https://careers360.com/colleges/indian-institute-of-technology-guwahati,https://www.careers360.com/colleges/indian-institute-of-technology-guwahati?gallery=true,https://careers360.com/university/indian-institute-of-technology-guwahati,https://www.careers360.com/university/indian-institute-of-technology-guwahati?gallery=true
3696,IIT Hyderabad - Indian Institute of Technology Hyderabad,"Hyderabad,Telangana",Telangana,Hyderabad,NIRF Ranking: 8 | Careers360  Rating: AAAAA,AAAAA,8,B.Tech Computer Science and Engineering,"JEE Advanced,",4.6/5,['₹9.08 Lakhs'],Public/Govt,https://careers360.com/colleges/indian-institute-of-technology-hyderabad,https://www.careers360.com/colleges/indian-institute-of-technology-hyderabad?gallery=true,https://careers360.com/university/indian-institute-of-technology-hyderabad,https://www.careers360.com/university/indian-institute-of-technology-hyderabad?gallery=true
5514,NIT Trichy - National Institute of Technology Tiruchirappalli,"Tiruchirappalli,Tamil Nadu",Tamil Nadu,Tiruchirappalli,NIRF Ranking: 9 | Careers360  Rating: AAAAA,AAAAA,9,B.Tech Computer Science and Engineering,"JEE Main,",4.4/5,['₹6.30 Lakhs'],Public/Govt,https://careers360.com/colleges/national-institute-of-technology-tiruchirappalli,https://www.careers360.com/colleges/national-institute-of-technology-tiruchirappalli?gallery=true,https://careers360.com/university/national-institute-of-technology-tiruchirappalli,https://www.careers360.com/university/national-institute-of-technology-tiruchirappalli?gallery=true
3687,IIT BHU - Indian Institute of Technology Banaras Hindu University Varanasi,"Varanasi,Uttar Pradesh",Uttar Pradesh,Varanasi,NIRF Ranking: 10 | Careers360  Rating: AAAAA,AAAAA,10,B.Tech Chemical Engineering,"JEE Advanced,",4.6/5,['₹8.58 Lakhs'],Public/Govt,https://careers360.com/colleges/indian-institute-of-technology-banaras-hindu-university-varanasi,https://www.careers360.com/colleges/indian-institute-of-technology-banaras-hindu-university-varanasi?gallery=true,https://careers360.com/university/indian-institute-of-technology-banaras-hindu-university-varanasi,https://www.careers360.com/university/indian-institute-of-technology-banaras-hindu-university-varanasi?gallery=true
8601,"VIT Vellore - Vellore Institute of Technology, Vellore","Vellore,Tamil Nadu",Tamil Nadu,Vellore,NIRF Ranking: 11 | Careers360  Rating: AAAAA,AAAAA,11,B.Tech Computer Science and Engineering,"JEE Main,VIT Engineering Entrance Exam",4.4/5,Not Mentioned,Private,https://careers360.com/colleges/vellore-institute-of-technology-vellore,https://www.careers360.com/colleges/vellore-institute-of-technology-vellore?gallery=true,https://careers360.com/university/vellore-institute-of-technology-vellore,https://www.careers360.com/university/vellore-institute-of-technology-vellore?gallery=true
3935,"Jadavpur University, Kolkata","Kolkata,West Bengal",West Bengal,Kolkata,NIRF Ranking: 12 | Careers360  Rating: AAAAA,AAAAA,12,BE Civil Engineering,"WBJEE,",4.6/5,Not Mentioned,Public/Govt,https://careers360.com/colleges/jadavpur-university-kolkata,https://www.careers360.com/colleges/jadavpur-university-kolkata?gallery=true,https://careers360.com/university/jadavpur-university-kolkata,https://www.careers360.com/university/jadavpur-university-kolkata?gallery=true
7856,"SRM University Chennai - SRM Institute of Science and Technology, Chennai","Chennai,Tamil Nadu",Tamil Nadu,Chennai,NIRF Ranking: 13 | Careers360  Rating: AAAAA,AAAAA,13,B.Tech Electronics and Communication Engineering,"JEE Main,SRM Joint Engineering Entrance Exam",4.3/5,['₹11 Lakhs'],Private,https://careers360.com/colleges/srm-institute-of-science-and-technology-chennai,https://www.careers360.com/colleges/srm-institute-of-science-and-technology-chennai?gallery=true,https://careers360.com/university/srm-institute-of-science-and-technology-chennai,https://www.careers360.com/university/srm-institute-of-science-and-technology-chennai?gallery=true
